,text,type
523,you,0
524,all the training,0
525,you,0
526,our award,0
527,ld team variety,0
528,the opportunity,0
529,the community,0
530,local health centres care services,0
531,hospitals,0
532,retail stores,0
533,airports,0
534,you,0
535,what,0
536,you,0
537,a store,0
538,you,0
539,you,0
540,a fast paced inspiring environment,0
541,you,0
542,genuine care,0
543,great relationships,0
544,your patients,0
545,customers,0
546,your team,0
547,what,0
548,you,0
549,this role,0
550,you,0
551,a professional caring character,0
552,a true desire,0
553,others,0
554,addition,0
555,you,0
556,relevant pharmacy regulator gphc psni psi,0
557,high levels,0
558,professional expertise,0
559,stakeholders peers patients customers,0
560,external local professionals,0
561,a passion,0
562,community pharmacy,0
563,the best care,0
564,our customers,0
565,a love,0
566,a teamcentred approach,0
567,excellent knowledge,0
568,pharmacy operations,0
569,provisions,0
570,national and local services  role model communication skills,0
571,you,0
572,excellent face,0
573,interactions,0
574,the varied needs,0
575,customers,0
576,patients,0
577,pharmacyin line,0
578,the governments,0
579,priority,0
580,access,0
581,availability,0
582,mental health and wellbeing support,0
583,children,0
584,young people,0
585,the new education mental health practitioner emhp role,0
586,an exciting opportunity,0
587,evidencebased early interventions,0
588,children,0
589,young people,0
590,both educational settings and healthcare sectors,0
591,england,0
592,successful candidates,0
593,a fulltime basis,0
594,a trailblazer site,0
595,the mental health support teams,0
596,mental health support,0
597,a range,0
598,educational settings,0
599,the region,0
600,the trailblazer sites,0
601,luton,0
602,milton keynes,0
603,part,0
604,this role,0
605,a requirement,0
606,the university,0
607,northampton,0
608,an element,0
609,the training,0
610,the service,0
611,the candidate,0
612,successful candidates,0
613,a fulltime educational programme,0
614,the role,0
615,partnership,0
616,the university,0
617,northampton,0
618,this post,0
619,nhs agenda,0
620,change afc band,0
621,4 level,0
622,credits,0
623,either a graduate or postgraduate level qualification,1
624,level,0
625,previous academic study,1
626,an opportunity,0
627,employment,0
628,completion,0
629,training,0
630,a starting salary,0
631,the nhs afc band 5 scale,0
632,all applicants,0
633,their application,0
634,the ability,0
635,degree level,0
636,an equivalent level,0
637,relevant experience,1
638,a proven record,0
639,previous learning,0
640,formal study,0
641,child development wellbeing,0
642,mental health,0
643,that experience,0
644,children,0
645,young people,0
646,an understanding,0
647,the educational system,0
648,england,0
649,highly desirable the training programme,0
650,this post,0
651,september,0
652,12 months,0
653,duration,0
654,mental health services,0
655,educational settings,0
656,primary and secondary schools,0
657,further education colleges delivery,0
658,the programme,0
659,a combination,0
660,taught days,0
661,a university independent selfguided study days,0
662,experience,0
663,education wellbeing,0
664,mainstream mental health services,0
665,the postholder,0
666,supervision,0
667,experience,0
668,healthcare and educational settings,0
669,them,0
670,the level,0
671,competence,0
672,highquality,0
673,early interventions,0
674,children,0
675,young people,0
676,moderate mental health problems,0
677,the training course,0
678,skills,0
679,knowledge,0
680,areas,0
681,children young people,0
682,their parentscarers,0
683,selfmanagement,0
684,development,0
685,plans,0
686,specific interventions,0
687,outcomes,0
688,own caseload,0
689,the necessary skills,0
690,a range,0
691,interventions,0
692,guided selfhelp,0
693,caseload information,0
694,supervisors,0
695,colleagues,0
696,better access,0
697,specialist mental health services,0
698,referrals,0
699,supporting colleagues,0
700,education,0
701,issues,0
702,mental health,0
703,successful completion,0
704,training trainee emhps,0
705,the necessary skills knowledge,0
706,capabilities,0
707,a qualified emhp,1
708,autonomous and responsible practitioners,1
709,their scope,0
710,practice,0
711,education colleagues emhps,0
712,a key role,0
713,members,0
714,the new mental health support teams,0
715,who,0
716,the responsibility,0
717,schools,0
718,approach,0
719,mental health and wellbeing support,0
720,children,0
721,young peoplehcone,0
722,an enthusiastic and committed senior care assistant,1
723,the flexible workforce team,0
724,a fantastic opportunity,0
725,your local area,0
726,different care home settings,0
727,a zero hour contract,0
728,you,0
729,shifts,0
730,a regular basis,0
731,you,0
732,full control,0
733,your working week,0
734,you,0
735,long or short term care,0
736,respite,0
737,palliative care,0
738,our focus,0
739,the highest quality care,0
740,all times,0
741,you,0
742,a senior carer,0
743,the guidance,0
744,a registered nurse,0
745,deputy manager,0
746,you,0
747,responsibility,0
748,the physical and emotional wellbeing,0
749,social needs,0
750,our residents duties,0
751,a team,0
752,carers,0
753,you,0
754,the highest standards,0
755,care,0
756,you,0
757,a real influence,0
758,the rest,0
759,the team,0
760,you,0
761,someone,0
762,a walking frame,0
763,someone,0
764,the end,0
765,their life,0
766,a meal,0
767,a residents family,0
768,the phone,0
769,you,0
770,a sense,0
771,kindness,0
772,anything,0
773,the kind,0
774,care,0
775,our residents,0
776,a real sense,0
777,security dignity,0
778,independence,0
779,responsibility,0
780,the wellbeing,0
781,residents,0
782,site,0
783,accurate records,0
784,the job,0
785,you,0
786,strong relationships,0
787,the rest,0
788,your team,0
789,a senior carer,0
790,hcone,0
791,you,0
792,kindness,0
793,it,0
794,every aspect,0
795,our dementia nursing residential and specialist care homes,0
796,every single person,0
797,who,0
798,our residents,0
799,people,0
800,them,0
801,their own stories,0
802,us,0
803,you,0
804,a wonderful opportunity,0
805,something,0
806,those people,0
807,a driving license,1
808,access,0
809,a vehicle,0
810,a member,0
811,the team,0
812,you,0
813,access,0
814,personal and continued development,0
815,free qualifications,0
816,our skills,0
817,care centre,0
818,excellence,0
819,our award,0
820,people development team,0
821,we,0
822,applicants,0
823,a qualification,0
824,the core mental health fields,0
825,rmn social work,0
826,occupational therapy,0
827,equivalent hcpc registration,0
828,a senior mental health practitioner,0
829,our camhs team,0
830,return,0
831,you,0
832,the opportunity,0
833,a lively and supportive environment,0
834,differences,0
835,training,0
836,we,0
837,work,0
838,systems,0
839,equitable allocations,0
840,the team,0
841,caseloads,0
842,patients,0
843,timely high quality,0
844,care,0
845,new starters,0
846,a 6 month probationary period,0
847,the induction process,0
848,a positive supportive working environment,0
849,new employees,0
850,key elements,0
851,their role,0
852,a reasonable timescale,0
853,candidates,0
854,the trust,0
855,who,0
856,an interview,0
857,nonqualified band,0
858,15 posts,0
859,numeracy,0
860,literacy assessments,0
861,appointment,0
862,this post,0
863,the trust,0
864,satisfactory references,0
865,35 years,0
866,employment,0
867,study,0
868,your referees,0
869,reference requests,0
870,the assessment,0
871,treatment,0
872,children,0
873,young people,0
874,their families,0
875,carers,0
876,care coordinator,0
877,a defined caseload,0
878,the assessment,0
879,management,0
880,risk,0
881,a first line duty rota,0
882,emergency,0
883,urgent referrals,0
884,networks,0
885,both the statutory and nonstatutory services,0
886,evidencebased therapies,0
887,a defined caseload,0
888,the post,0
889,north oxfordshire,0
890,more help,0
891,3 camhs,0
892,rural and market town areas,0
893,the team,0
894,banbury,0
895,we,0
896,gp surgeries,0
897,banbury bicester woodstock,0
898,kidlington,0
899,an expectation,0
900,you,0
901,a car driver,0
902,all locations,0
903,a top performing foundation trust,0
904,university hospital,0
905,we,0
906,an experienced individual,0
907,the ugi surgery department,0
908,a speciality doctor,0
909,the post,0
910,a suitably qualified individual,0
911,an opportunity,0
912,a forward thinking and proactive team,0
913,9 consultants,0
914,the team,0
915,all areas,0
916,the service,0
917,theatres day case outpatients,0
918,the appointee,0
919,the middlegrade,0
920,call,0
921,general surgical middle grade rota,0
922,they,0
923,support,0
924,consultants,0
925,opportunity,0
926,independent clinics,0
927,the ugi cancer service,0
928,the appointee,0
929,ongoing research programmes,0
930,surgery,0
931,the appointee,0
932,the departments,0
933,teaching programme,0
934,a very busy department,0
935,exposure,0
936,a wide range,0
937,services teaching,0
938,research opportunities,0
939,the deputy home manager,0
940,you,0
941,responsibility,0
942,the management,0
943,a business,0
944,a team,0
945,part,0
946,the leadership team,0
947,you,0
948,the whole facility,0
949,course,0
950,we,0
951,the very best quality care,0
952,a deputy manager,0
953,what,0
954,you,0
955,the delivery,0
956,quality care,0
957,our residents,0
958,the service,0
959,their quality,0
960,life,0
961,the home manager,0
962,the overall management,0
963,the reputation,0
964,the home,0
965,visitors,0
966,family friends,0
967,other external stakeholders,0
968,an active role,0
969,compliance,0
970,the home,0
971,the implementation,0
972,company policies,0
973,regulatory requirements,0
974,the best possible care rating,0
975,other external recognition,0
976,quality,0
977,clinical excellence,0
978,high standards,0
979,nursing care,0
980,legal regulatory and best practice guidelines,0
981,the financial effectiveness,0
982,the home,0
983,the home,0
984,budget,0
985,effective use,0
986,resources,0
987,areas,0
988,efficiency,0
989,an active leadership role,0
990,you,0
991,a visible leader,0
992,the home,0
993,the operation,0
994,a twenty four hour business,0
995,your people,0
996,the induction,0
997,all new employees,0
998,the training development,0
999,the team,0
1000,people management,1
1001,an active part,0
1002,the recruitment assessment,0
1003,supervision,0
1004,the team,0
1005,the manager,0
1006,disciplinary proceeding,0
1007,order,0
1008,our deputy managers,0
1009,a strong passion,0
1010,commitment,0
1011,the specialist services,0
1012,we,0
1013,a positive and flexible attitude,0
1014,a person,0
1015,centred ethos,0
1016,empathy,0
1017,a desire,0
1018,a difference,0
1019,date,0
1020,current practices,0
1021,a desire,0
1022,excellent clinical and industry knowledge strong leadership,0
1023,management qualities,0
1024,essential and previous experience,0
1025,a deputy home manager,0
1026,desirable deputy managers,0
1027,the continued success,0
1028,the business,0
1029,all aspects,0
1030,care,0
1031,the role,0
1032,a great opportunity,0
1033,managerial and leadership responsibilities,0
1034,clinical care,0
1035,the unit,0
1036,an individual,0
1037,clinical trials experience,0
1038,the post,0
1039,a clinical research nurse,0
1040,you,0
1041,a highly motivated enthusiastic and independent person,1
1042,an interest,0
1043,skin disease research,0
1044,this role,0
1045,a registered nurse,0
1046,you,0
1047,interest,0
1048,clinical research,0
1049,previous experience,0
1050,clinical research projects,0
1051,it,0
1052,you,0
1053,a key role,0
1054,patient recruitment,0
1055,research studies,0
1056,you,0
1057,a team player,0
1058,addition,0
1059,you,0
1060,other research nurses study coordinators,0
1061,the clinical areas,0
1062,participation,0
1063,a range,0
1064,research studies,0
1065,you,0
1066,patient recruitment,0
1067,research governance guidelines,0
1068,good clinical practice,0
1069,clinical trial study documentation meticulous documentation,0
1070,word processing skills,1
1071,essential requirements,0
1072,this post,0
1073,you,0
1074,excellent organisational and communication skills,1
1075,multidisciplinary teams,0
1076,the ability,0
1077,the post holder,0
1078,adult dermatology,0
1079,alopecia hidradenitis suppurativa,0
1080,hs urticaria,0
1081,psoriasis,0
1082,patient safety,0
1083,timely delivery,0
1084,clinical trials,0
1085,this post,0
1086,the rehabilitation,0
1087,offenders,0
1088,it,0
1089,a submission,0
1090,disclosure,0
1091,the disclosure,0
1092,service,0
1093,crb,0
1094,any previous criminal convictions tier,0
1095,2 certificate,0
1096,sponsorship,0
1097,you,0
1098,a qualified physiotherapist,0
1099,at least 2 years post registration experience experience,0
1100,nhs,0
1101,private hospital rotation,0
1102,a current hcpc registrationhays,0
1103,healthcare,0
1104,the centre,0
1105,health and disability assessments,0
1106,experienced physiotherapists,1
1107,them,0
1108,functional assessors,0
1109,cardiff,0
1110,this exciting role,0
1111,a range benefits,0
1112,excellent professional development family support,0
1113,good working hours,0
1114,friday,0
1115,the centre,0
1116,health,0
1117,disability,0
1118,a maximus company,0
1119,conjunction,0
1120,the department,0
1121,work,0
1122,pensions dwp maximus,0
1123,a global organisation,0
1124,national healthcare programmes,0
1125,a functional assessor,0
1126,you,0
1127,unique and important responsibilities,0
1128,you,0
1129,functional assessments,0
1130,concise reports,0
1131,the department,0
1132,work,0
1133,part,0
1134,a successful integrated team,0
1135,you,0
1136,a combination,0
1137,filework,0
1138,facetoface,0
1139,assessments,0
1140,relation,0
1141,a variety,0
1142,benefits,0
1143,the functional analysis,0
1144,you,0
1145,a persons condition,0
1146,the effects,0
1147,the condition,0
1148,that persons,0
1149,life,0
1150,a great way,0
1151,people,0
1152,your technical healthcare knowledge,1
1153,this post,0
1154,the rehabilitation,0
1155,offenders,0
1156,it,0
1157,a submission,0
1158,disclosure,0
1159,the disclosure,0
1160,service,0
1161,crb,0
1162,any previous criminal convictions tier,0
1163,2 certificate,0
1164,sponsorship,0
1165,we,0
1166,a wide range,0
1167,treatment,0
1168,support,0
1169,young people adults,0
1170,older people,0
1171,mental illness,0
1172,inpatients,0
1173,the community,0
1174,treatment,0
1175,secure and specialised settings community health services,0
1176,our diverse range,0
1177,community health services,0
1178,support,0
1179,treatment,0
1180,both adults,0
1181,children,0
1182,we,0
1183,this care,0
1184,community hospitals health centres,0
1185,gp surgeries,0
1186,peoples homes learning disabilities services,0
1187,we,0
1188,crisis support,0
1189,inpatient services,0
1190,our community learning disability teams,0
1191,partnership,0
1192,local councils,0
1193,assessment,0
1194,adults,0
1195,social care,0
1196,we,0
1197,personalised social care support,0
1198,people,0
1199,a range,0
1200,needs,0
1201,people,0
1202,learning,0
1203,disabilities,0
1204,mental illness,0
1205,people,0
1206,we,0
1207,individuals,0
1208,the eput team,0
1209,part,0
1210,services,0
1211,our communities,0
1212,the post holder,0
1213,the holistic mental health physical health and social care needs assessment,0
1214,the development implementation,0
1215,evaluation,0
1216,patients,0
1217,who,0
1218,admission,0
1219,our nursing home,0
1220,we,0
1221,motivated staffs,0
1222,who,0
1223,our trust values,0
1224,return eput,0
1225,you,0
1226,a range,0
1227,benefits,0
1228,salary sacrifice schemes,0
1229,childcare vouchers,0
1230,cars,0
1231,cycle,0
1232,season ticket loans,0
1233,participation,0
1234,staff,0
1235,nhs discounts,0
1236,staff,0
1237,weekly health,0
1238,wellbeing articles,0
1239,equality and diversity subgroups,0
1240,staff,0
1241,issues,0
1242,equality,0
1243,work,0
1244,equality champions,0
1245,who,0
1246,other staff,0
1247,support,0
1248,work,0
1249,occupational health and counselling providers,0
1250,24 hour counselling support line,0
1251,staff,0
1252,access,0
1253,a wide range,0
1254,support,0
1255,advice,0
1256,a range,0
1257,issues,0
1258,finance,0
1259,debt consumer rights,0
1260,housing welfare,0
1261,family rights,0
1262,domestic violence,0
1263,active members,0
1264,a range,0
1265,national bodies,0
1266,health,0
1267,wellbeing,0
1268,the workforce age uk stonewall disability,0
1269,two ticks,0
1270,mindful employer,0
1271,an active staff side body,0
1272,staff issues,0
1273,a range,0
1274,recognised staffprofessional unions,0
1275,successful achievement,0
1276,the national iip health and wellbeing award,0
1277,excellent training facilities,0
1278,opportunities,0
1279,a number,0
1280,universities,0
1281,staffs professional development,0
1282,feature,0
1283,the top 100 employers index,0
1284,hsj,0
1285,you,0
1286,any further information,0
1287,trust,0
1288,our website,0
1289,a newly appointed employee,0
1290,you,0
1291,the cost,0
1292,your initial dbs check,0
1293,your post,0
1294,the amount,0
1295,your first salary,0
1296,the trust,0
1297,a valid drivers cpc card,0
1298,a valid digital tachograph card,0
1299,training pension scheme full company,0
1300,nights,0
1301,nights,0
1302,expenses,0
1303,â1200 achievable fuel bonus job description,0
1304,hgv driver class,0
1305,an hgv driver class,0
1306,you,0
1307,the safe delivery,0
1308,our products,0
1309,accordance,0
1310,the law,0
1311,you,0
1312,extra opportunity,0
1313,a 6th day,0
1314,your eu drivers hours,0
1315,we,0
1316,drivers,0
1317,days requirements,0
1318,this role,0
1319,you,0
1320,the chance,0
1321,a real impact,0
1322,patients,0
1323,users,0
1324,their families,0
1325,we,0
1326,a professional ambitious and confident care,0
1327,support worker,0
1328,excellent career,0
1329,your focus,0
1330,quality,0
1331,care,0
1332,us,0
1333,our goals,0
1334,workers,0
1335,interests,0
1336,care responsibility,0
1337,new challenges,0
1338,you,0
1339,what,0
1340,you,0
1341,we,0
1342,you,0
1343,an important step,0
1344,independence,0
1345,we,0
1346,it,0
1347,people,0
1348,the right support,0
1349,they,0
1350,the life,0
1351,they,0
1352,we,0
1353,people,0
1354,learning,0
1355,disabilities,0
1356,staffordshire,0
1357,those steps,0
1358,their goals,0
1359,you,0
1360,our supported living service,0
1361,offer,0
1362,enhanced care,0
1363,a flexible learning approach,0
1364,all our service users patients,0
1365,residents,0
1366,guidance,0
1367,encouragement,0
1368,physical  emotional support,0
1369,individuals,0
1370,specific needs,0
1371,help,0
1372,the most appropriate way,0
1373,assist,0
1374,medical  welfare needs,0
1375,as required  safeguard,0
1376,a safe and clean environment,0
1377,you,0
1378,a desire,0
1379,a real difference,0
1380,peoples,0
1381,an excellent communicator,1
1382,a good team player,1
1383,the energy,0
1384,a trusting,0
1385,varied environment,0
1386,support service user independence,0
1387,cygnet,0
1388,you,0
1389,an opening,0
1390,our excellent apprenticeship scheme,0
1391,opportunity,0
1392,overtime,0
1393,regular coaching,0
1394,appraisal,0
1395,expert supervision,0
1396,peer support,0
1397,employee discount savings  cycle,0
1398,to work scheme,0
1399,recruitment,0
1400,wellbeing centre,0
1401,exercises,0
1402,financial and mental health advice,0
1403,successful candidates,0
1404,an enhanced dbs check,0
1405,a positive change,0
1406,i,0
1407,a registered nurse rgn,1
1408,fertility experience,0
1409,the role,0
1410,a private hospital,0
1411,uk,0
1412,their excellent patient experience,0
1413,you,0
1414,experience,0
1415,fertility and reproduction medicine,0
1416,we,0
1417,you,0
1418,reproductive medicine experience,0
1419,an advantage,0
1420,phlebotomy experience,0
1421,ability,0
1422,experience,0
1423,patients,0
1424,sedation  excellent bedside manner,0
1425,outstanding patient care,0
1426,time,0
1427,welllead nurse duties,0
1428,blood tests,0
1429,ultrasound scans,0
1430,iv,0
1431,assist,0
1432,theatre procedures,0
1433,monitor patients,0
1434,recovery,0
1435,minor procedures,0
1436,dispense medications,0
1437,patientsvariety,0
1438,the opportunity,0
1439,the community,0
1440,local health centres care services,0
1441,hospitals,0
1442,retail stores,0
1443,airports,0
1444,you,0
1445,what,0
1446,you,0
1447,a store,0
1448,you,0
1449,you,0
1450,a fast paced inspiring environment,0
1451,you,0
1452,genuine care,0
1453,great relationships,0
1454,your patients,0
1455,customers,0
1456,your team,0
1457,what,0
1458,you,0
1459,this role,0
1460,you,0
1461,a professional caring character,1
1462,a true desire,0
