skill_group,skill
Construction,"Construction Management, Commissioning, Contractors, Construction Safety, Concrete, EPC,"
Engineering,"Value Engineering, HVAC, Construction Drawings, Primavera P6"
Contract Law,"Civil Litigation, Contract Law, Contractual Agreements, Civil Law, Vendor Contracts, Company Law, Contract Writing, Breach Of Contract, Business Transactions, Relativity"
Cooking,"Cooking, Culinary Skills, Food Preparation, Baking, Pastry, Dairy Products, Bakery, Cake Decorating, Italian Cuisine, Cakes"
Corporate,"Strategic Communications, Corporate Communications, Media Relations, Press Releases,"
,"Internal Communications, Newsletters, Social Media Communications, Corporate Social"
Communications,"Responsibility, Community Management, Crisis Communications"
Cosmetology,"Cosmetics, Beauty Industry, Makeup Artistry, Skin Care, Cosmetology, Hair Care, Hair Styling, Hair Cutting, Spa, Personal Care"
,"Creativity Skills, Creative Arts, Creative Content Creation, Creative Work, Creative Content"
Creativity Skills,"Production, Creative Conception, Artistic Abilities, Creative Visualization, Creative Campaign"
,"Development, Creative Skills"
Criminal Law,"Criminal Law, Anti Money Laundering, Criminal Defense, Business Litigation, Conveyancing, Expert Witness, Forensic Accounting, Crime Scene Investigations, Public Liability, IT Law"
Customer,"Customer Satisfaction, Customer Experience, Customer Retention, Customer Support,"
,"Relationship Building, Customer Engagement, Complaint Management, Customer Contact,"
Experience,"Client Rapport, Customer Loyalty"
Customer Service,"Customer Service Management, CRM Integration, BMC Remedy Ticketing System, IVR,"
,"Ticketing Systems, Customer Product Training, NICE Call Recording, Call Monitoring, Global"
Systems,"Customer Service, Customer Service Systems"
Cybersecurity,"Security, Network Security, Cybersecurity, Information Security, Firewalls, Information Assurance, Information Security Management, Penetration Testing, IT Audit, Data Privacy"
Dance,"Dance, Choreography, Contemporary Dance, Dance Education, Ballet, Dance Instruction, Modern Dance, Hip-Hop Dance, Classical Ballet, Tap Dance"
Data Science,"Data Analysis, SQL, Analytics, Statistics, R, IBM SPSS, PL/SQL, Tableau, Statistical Data Analysis, Big Data"
Data Storage,"MySQL, Microsoft SQL Server, Databases, Cloud Computing, Oracle Database, Amazon Web"
Technologies,"Services (AWS), MongoDB, Data Center, Visio, PostgreSQL"
Data-driven,"Business Decision Making, Decision Support, Ethical Decision Making, Data-driven Decision"
Decision Making,"Making, Decision Analysis, Data Driven Testing, Decisiveness, Decision Modeling"
Debt Collection,"Debt Collection, Credit Control, Debt Management, Debt Restructuring, Debt Settlement, Factoring, Debtors, Skip Tracing, Debt Consolidation, Liquidation"
Delivery Operations,"Freight, Third-Party Logistics (3PL), Freight Forwarding, Air Freight, Global Delivery, Import Logistics, Logistic Support, Freight Transportation, Direct Store Delivery, Logistics Analysis"
Dentistry,"Dentistry, Cosmetic Dentistry, Restorative Dentistry, Dental Care, Oral Surgery, Dental Assisting, Endodontics, Periodontics, Teeth Whitening, Prosthodontics"
Dermatology,"Dermatology, Plastic Surgery, Botox Cosmetic, Dermal Fillers, Acne, Fillers, Skin Cancer, Laser Surgery, Juvederm, Liposuction"
Development Tools,"Java, Python (Programming Language), C++, Linux, C (Programming Language), C#, Git, Jira, Unix, .NET Framework"
Digital Literacy,"Microsoft Office, Microsoft Excel, Microsoft Word, Microsoft PowerPoint, Microsoft Outlook, Microsoft Access, Computer Literacy, Office 365, Mac, Spreadsheets"
,"Social Media Marketing, Digital Marketing, Online Marketing, Search Engine Optimization"
Digital Marketing,"(SEO), E-commerce, Digital Strategy, Trade Marketing, Pay Per Click (PPC), Mobile Marketing,"
,Brand Awareness
,"Software Documentation, Technical Writing, Documentation, Confluence, Technical"
Documentation,"Documentation, Technical Communication, Note Taking, Manuals, Process Flow"
,"Documentation, Transcribing"
Drilling Engineering,"Project Engineering, Pipelines, Upstream, Offshore Drilling, Drilling, Oilfield, Completion, Quality, Health, Safety, and Environment (QHSE), HAZOP Study, Offshore Operations"
,"Geographic Information Systems (GIS), ArcGIS Products, Geology, Global Positioning System"
Earth Science,"(GPS), Quantum GIS, Remote Sensing, Geological Mapping, Earth Science, Cartography,"
,Spatial Analysis
Economics,"Economics, Stata, Econometrics, Quantitative Analytics, Macroeconomics, EViews, Economic Research, Microeconomics, International Economics, Energy Markets"
Editing,"Editing, Proofreading, Copy Editing, Text Editing, English Grammar, Fact-checking, Punctuation, Web Editing, Editorial Process, Script Editing"
Educational,"Educational Leadership, Student Affairs, Diversity & Inclusion, Student Development,"
,"Academic Advising, Technology Integration, Admissions, Educational Consulting, Student"
Administration,"Recruiting, Curriculum Mapping"
Educational,"Educational Workshops, Educational Research, Evidence-Based Practice (EBP), ADDIE, Action"
Research,"Learning, Educational Management, Action Research"
Electronic Control,"Programmable Logic Controller (PLC), Control Systems Design, Distributed Control System"
,"(DCS), Building Automation, PLC Siemens, Building Management Systems, Variable Frequency"
Systems,"Drives, Office Managers, PLC Ladder Logic, Allen-Bradley"
Electronics,"Electronics, Electrical Wiring, Embedded Systems, Arduino, Semiconductors, Web Services API, Sensors, Raspberry Pi, Consumer Electronics, Desktop Computers"
Emergency,"First Aid, Emergency Medicine, Emergency Services, First Aid Training, Adult CPR, EMT,"
Medicine,"Paramedic, Emergency Planning, TNCC, Ambulance"
Employee Learning,"Training, Leadership Development, Employee Training, Staff Development, Training &"
,"Development, Instructional Design, Training Delivery, People Development, Executive"
& Development,"Coaching, Performance Improvement"
,"SAP Products, SAP ERP, Software as a Service (SaaS), Enterprise Software, Microsoft Azure,"
Enterprise Software,"Enterprise Architecture, SAP Implementation, Microsoft Dynamics CRM, Microsoft Dynamics"
,"NAV, Magento"
,"Entrepreneurship, Start-ups, Social Entrepreneurship, Lean Startup, Resiliency, Growth"
Entrepreneurship,"Hacking, Successful Business Owner, Start-up Ventures, Early-stage Startups, Getting Things"
,Done (GTD) Method
Environmental,"Sustainability, Environmental Awareness, Environmental Management Systems,"
,"Environmental Compliance, Environmental Consulting, Hazardous Materials, Hazardous"
Consulting,"Waste Management, OHSAS 18001, Incident Investigation, Remediation"
Environmental,"Water Treatment, Waste Management, Environmental Engineering, Stormwater"
,"Management, Waste, Traffic Management, Municipalities, Erosion Control, Waste Water"
Engineering,"Treatment Plants, Filtration"
Environmental,"Life Sciences, Renewable Energy, Sustainable Development, Environmental Science, ISO"
,"14001, Environmental Impact Assessment, Field Work, Ecology, Environmental Policy, Climate"
Science,Change
Event Planning,"Event Planning, Event Management, Corporate Events, Live Events, Event Production, Meeting Planning, Special Events, Festivals, Weddings, Marketing Event Planning"
Evolutionary Biology,"Microbiology, Wildlife Biology, Bacteriology, Evolutionary Biology, Gram Staining, Systems Biology, Molecular Microbiology, Developmental Biology, Evolution, Synthetic Biology"
Family Law,"Family Law, Wills, Preparation of Wills, Guardianship, Divorce Law, Probate Law, Family Mediation, Juvenile Law, Disability Rights, Elder Law"
Family Medicine,"Cardiopulmonary Resuscitation (CPR), Medical Education, Home Care, Internal Medicine, Medical-Surgical, Immunology, Diabetes, Pain Management, Neuroscience, Aesthetics"
FinTech,"Blockchain, FinTech, Cryptocurrency, Bitcoin, Financial Technology, Ethereum, Solidity, Cryptocurrency Trading, Hyperledger, Bitcoin Mining"
,"Financial Analysis, Financial Reporting, Financial Accounting, Corporate Finance, Financial"
Financial Accounting,"Statements, U.S. Generally Accepted Accounting Principles (GAAP), Balance Sheet, Taxations,"
,"Target Costing, Consolidated Financial Statements"
Fishing,"Fishing, Hunting, Fly Fishing, Commercial Fishing"
Flexible Approach,"Easily Adaptable, Adaptation, Flexible Schedule, Can Do Approach, Independence, Agility, Pressure Handling, Flexible Approach, Positive Work Environment, Performance Motivation"
Fluid Mechanics,"Computational Fluid Dynamics (CFD), Fluid Mechanics, Fluid Dynamics, Steam Boilers, Star-CCM+, OpenFOAM, Molecular Dynamics, Fluids, Combustion, CFX"
,"Food Safety, Food Industry, Food Processing, Food Science, Food Technology, Food"
Food Manufacturing,"Manufacturing, Food Microbiology, Food Packaging, Food Safety Management System, Frozen"
,Food
Food Service,"Restaurant Management, Catering, Hazard Analysis and Critical Control Points (HACCP), Menu"
Operations,"Development, Pre-opening, Banquet Operations, MICROS, Fine Dining, Wine, Food Quality"
Foreign Languages,"English, Spanish, French, Dutch, German, Portuguese, Foreign Languages, English as a Second Language (ESL), Italian, Business English"
Forestry,"Forestry, Trees, Forest Management, Timber, Sustainable Forest Management, Tree Climbing, Chainsaw, Renewable Resources, Certified Arborist, Forest Products"
Game Development,"Unity, Video Games, Game Development, Game Design, Online Gaming, Gaming, Mobile Games, Unreal Engine 4, Gaming Industry, Perforce"
Gastroenterology,"Gastroenterology, Osteoporosis, Digestive Disorders, Hepatology, Gastrointestinal Disorders, Gastrointestinal Surgery"
General Surgery,"Surgery, Operating Room, General Surgery, Aseptic Technique, Working with Surgeons, Surgical Instruments, Sterilization, Disposables, Endoscopy, Laparoscopic Surgery"
,"Molecular Biology, Polymerase Chain Reaction (PCR), Genetics, Real-Time Polymerase Chain"
Genetic Engineering,"Reaction (qPCR), Molecular Cloning, Gel Electrophoresis, DNA Extraction, Genomics, Protein"
,"Expression, DNA"
Geotechnical,"Highways, Geotechnical Engineering, Transportation Engineering, Excavation, Traffic"
,"Engineering, Road Construction, Tunnels, Seismic Design, Engineering Geology, Highway"
Engineering,Design
Graphic Design,"Adobe Photoshop, Adobe Illustrator, Graphic Design, Adobe InDesign, Adobe Creative Suite, Web Design, Art Direction, Logo Design, Illustration, Design"
Ground,"Shipping, Forklift Operation, Road, Fleet Management, Rail Transport, Trucking, Shipping &"
Transportation,"Receiving, Dispatching, Truck Driving, LTL Shipping"
,"Mergers & Acquisitions (M&A), Strategic Partnerships, Customer Acquisition, Restructuring,"
Growth Strategies,"International Business Development, Corporate Development, Acquisitions, Financial"
,"Structuring, Growth Strategies, New Business Opportunities"
Healthcare,"Hospitals, Healthcare Management, Electronic Medical Record (EMR), Healthcare Information"
,"Technology (HIT), U.S. Health Insurance Portability and Accountability Act (HIPAA), Medical"
Management,"Terminology, Managed Care, Medicare, Epic Systems, Medical Records"
,"Higher Education, Curriculum Development, Educational Technology, Teacher Training,"
Higher Education,"University Teaching, Adult Education, Intercultural Communication, Academic Writing, Online"
,"Research, Student Engagement"
History,"History, American History, World History, Military History, Genealogy, European History, Handel, Ancient History, Oral History, Social Change"
,"Hotel Management, Front Office, Rooms Division, Property Management Systems, Guest"
Hospitality Industry,"Service Management, Housekeeping, Reservations, Opening Hotels, HORECA, Concierge"
,Services
Human Computer,"Bootstrap, User Experience (UX), User Interface Design, User Experience Design (UED),"
,"TypeScript, Interaction Design, Wireframing, Usability Testing, User-centered Design, Sketch"
Interaction,App
Human Resources,"Human Resources (HR), Performance Management, Organizational Development, Employee"
,"Relations, Talent Management, Employee Engagement, Personnel Management, Onboarding,"
(HR),"HR Consulting, HR Policies"
Industrial Design,"Design Thinking, Sketching, Concept Development, Rapid Prototyping, Industrial Design, Design Engineering, Axure RP, Ergonomics, Design Strategy, Keyshot"
Information,"SharePoint, Content Management, Content Management Systems (CMS), Document"
,"Management, Information Management, Knowledge Management, Records Management,"
Management,"Digitization, Laboratory Information Management System (LIMS), Archives"
,"Inorganic Chemistry, Titration, Precious Metals, Heterogeneous Catalysis, Inorganic Synthesis,"
Inorganic Chemistry,"Formulation Chemistry, Instrumental Analysis, NIR Spectroscopy, Cyclic Voltammetry,"
,Quantum Chemistry
Inside Sales,"Account Management, Direct Sales, Sales Process, Solution Selling, International Sales, Cold Calling, Sales Effectiveness, Consultative Selling, Sales Prospecting, Sales Strategy"
Instrumentation,"Instrumentation, Calibration, Data Acquisition, Industrial Control, Measurements, Pre-commissioning, PVSyst, Lightning, Field Instruments, Electronic Instrumentation"
Insurance,"Insurance, General Insurance, Underwriting, Health Insurance, Property & Casualty Insurance, Life Insurance, Commercial Insurance, Claims Management, Liability, Professional Liability"
Intellectual Property,"Intellectual Property, Licensing, Patent Law, Trademarks, Patent Litigation, Patent Prosecution, Trade Secrets, Patent Preparation, Trademark Infringement, Patentability"
Interior Design,"Interior Design, Space Planning, Interior Architecture, Furniture, Building Materials, Lighting Design, Refurbishments, Furnishings, Decoration, Flooring"
,"International Business, International Trade, International Law, Export, Human Rights,"
International Law,"European Union, Immigration Law, Cross-border Transactions, International Arbitration,"
,International Negotiations
Inventory,"Inventory Management, Enterprise Resource Planning (ERP), Inventory Control, Warehouse"
,"Operations, Warehouse Management Systems, Materials Management, Supply Chain"
Management,"Optimization, Stock Management, Order Management, ERP Software"
,"Investments, Financial Planning, Asset Management, Investment Banking, Wealth"
Investment Banking,"Management, Mutual Funds, Retirement Planning, Financial Advisory, Back Office Operations,"
,Hedge Funds
,"Investor Relations, U.S. SEC Filings, Capital Raising, Company Valuation, SEC Financial"
Investor Relations,"Reporting, Board of Directors Reporting, U.S. Securities and Exchange Commission (SEC),"
,"XBRL, Investor Reporting, Investor Presentations"
Journalism,"Journalism, News Writing, Magazines, Reporting, Online Journalism, Newspapers, Feature Writing, Broadcast Journalism, Digital Publishing, AP Stylebook"
,"Lesson Planning, Classroom Management, Special Education, Elementary Education,"
K-12 Education,"Differentiated Instruction, Literacy, K-12 Education, Early Childhood Education, Pedagogy,"
,Secondary Education
Kinesiology,"Exercise Physiology, Kinesiology, Biomechanics, Bodybuilding, Low Back Pain, Group Exercise, Electromyography (EMG), Weight Gain"
Labor and,"Labor and Employment Law, Employment Contracts, Equal Employment Opportunity (EEO),"
,"Employment Law Compliance, Social Security Law, I-9 Compliance, ADA Compliance,"
Employment Law,"Employee Grievance, Labour Issues, Employment Litigation"
Land Surveying,"Land Surveying, Laser Scanning, Subdivisions, Trimble, Leica, Legal Descriptions, Cadastral Surveying, Topcon, Leveling, RTK"
Landscape,"Landscaping, Landscape Design, Horticulture, Gardening, Landscape Architecture, Landscape"
Architecture,"Maintenance, Garden Design, Plant Identification, Lawn Care, Tree Planting"
Law,"Legal Research, Legal Writing, Litigation, Corporate Governance, Corporate Law, Legal Advice, Legal Assistance, Commercial Litigation, Mediation, Regulatory Compliance"
,"Leadership, Team Leadership, Team Building, Team Management, Cross-functional Team"
Leadership,"Leadership, Organizational Leadership, Strategic Thinking, Strategic Leadership, Self-"
,"confidence, Technical Leadership"
,"Legislation, Legislative Relations, Policy Development, Regulations, Lobbying, State"
Legislation,"Government, Legislative Research, Data Protection Act, Legislative Affairs, Government"
,Administration
Library Science,"Library Services, Cataloging, Library Science, Information Literacy, Collection Development, Library Management, Library Research, Library Instruction, Metadata, Archival Research"
Linguistics,"Linguistics, Grammar, Terminology, Applied Linguistics, Financial Translation, Phonetics, Pragmatics, Discourse Analysis, Voice & Accent, Second Language Acquisition"
Literature,"Literature, Poetry, English Literature, Book Reviews, Short Stories, Novels, Essays, Literary Criticism, Narrative, Manuscript Development"
,"SOLIDWORKS, Autodesk Inventor, Welding, Metal Fabrication, Machining, CAD/CAM,"
Machining,"Geometric Dimensioning & Tolerancing, CNC Programming, Computer Numerical Control"
,"(CNC), Machine Tools"
Maintenance &,"Maintenance & Repair, Preventive Maintenance, Maintenance Management, Maintenance,"
,"Mechanics, Electrical Troubleshooting, Hydraulics, Heavy Equipment, Blueprint Reading, Plant"
Repair,Maintenance
Management,
Accounting,"Budgeting, Account Reconciliation, Managerial Finance, P&L Management, Cash Flow, Cash
Management, Management Accounting, Cost Accounting, Variance Analysis, Pivot Tables"
Management,
Consulting,"Business Analysis, Business Intelligence (BI), Management Consulting, Market Analysis,
Strategic Consulting, Business Process Mapping, IT Consulting, Business Modeling, Gap
Analysis, Start-up Consulting"
Manufacturing,
Operations,"Operations Management, Continuous Improvement, Lean Manufacturing, 5S, Six Sigma,
Inspection, Quality Management, Quality Control, Process Engineering, Kaizen"
Maritime,
Operations,"Maritime Operations, Navigation, Ports, Container Shipping, Ocean Transportation, ISM Code,
Sailing, Forwarding, Dynamic Positioning, Boat"
Materials Science,"Materials, Materials Science, Characterization, Design of Experiments (DOE), Spectroscopy,
Polymers, Metallurgy, Metrology, Scanning Electron Microscopy (SEM), Raw Materials"
Mathematics,"Mathematics, Mathematical Modeling, Mathematica, Numerical Analysis, Fortran, Applied
Mathematics, Operations Research, Calculus, Numerical Simulation, Monte Carlo Simulation"
Medicine,"Medicine, Histology, Virology, Pulmonology, Urinalysis, Nephrology, Autoclave, Vaccinations,
Prosthetics, Key Opinion Leaders"
Mining,"Mining, Minerals, Gold, Mineral Processing, Coal, Iron Ore, Base Metals, Mining Engineering,
Underground Mining, QAQC"
Mobile Application,
Development,"Android Development, Android, Mobile Applications, Android Studio, Mobile Application
Development, Android SDK, Firebase, Kotlin, iPhone, Mobile Device Management"
Music,"Music, Music Production, Singing, Music Industry, Audio Recording, Music Composition,
Sound, Music Education, Audio Editing, Audio Engineering"
Nanotechnology,"Nanotechnology, Molecular Modeling, Biosensors, Carbon Nanotubes, Interferometry,
Nanomedicine, Nanostructures, Mechanical Properties, Nanoelectronics"
National Security,"National Security, Homeland Security, Government Relations, Counterinsurgency, Interagency
Coordination, Coalitions, Government Liaison, SCI Clearance, Federal Government Relations,
Communications Security"
Naval Architecture,"Marine Engineering, Shipbuilding, Yachting, Naval Architecture, Marine Industry, Shipyards,
Maxsurf, Marine Propulsion, Boat Building, Tribon M3"
Navy,"Command, Maritime, Navy, Marine Operations, Maritime Security, Ship Management,
Vessels, Seamanship, Vessel Operations, Diving"
Negotiation,"Negotiation, Contract Negotiation, Conflict Resolution, Cooperation, Strategic Negotiations,
Priority Management, Verbal De-escalation, Conflict, Union Relations, Conflict Analysis"
Neurology,"Neurology, Neurosurgery, Stroke Rehabilitation, Neurological Disorders, Spinal Cord Injury,
Brain Injury, Central Nervous System, CNS disorders, Movement Disorders, Neurologists"
Nonprofit,
Management,"Nonprofit Organizations, Community Outreach, Fundraising, Program Development, Grant
Writing, Community Development, Accountability, Community Engagement, Group Work,
Non-profit Volunteering"
Nuclear Engineering,"Nuclear, Nuclear Engineering, Radiography, Nuclear Power Plants, Nuclear Safety, Reactor,
Digital X-ray, UV, Nuclear Energy, Decommissioning"
Nuclear Physics,"Radiation Safety, Radiation, Nuclear Physics, Radiation Detectors, Radioactive Materials,
Health Physics, Radiation Effects, Reactor Physics, Linear Accelerators, Nuclear Proliferation"
Nursing,"Patient Safety, Nursing, Basic Life Support (BLS), Inpatient Care, Critical Care Nursing,
Advanced Cardiac Life Support (ACLS), Patient Education, Acute Care, Working with
Physicians, Patient Advocacy"
Obstetrics,"Women's Health, Obstetrics and Gynecology, Obstetrics, Gynecology, Pregnancy, Midwifery,
Fertility, Infertility, Prenatal Care, Maternity"
Oceanography,"Scuba Diving, Oceanography, Marine Survey, Marine Conservation, Climate, Underwater,
Climatology, Physical Oceanography, Biogeochemistry"
Oil & Gas,"Petroleum, Oil & Gas, Gas, Onshore Operations, Petrochemical, Oil & Gas Industry, Piping,
Refinery Operations, Natural Gas, Piping and Instrumentation Drawing (P&ID)"
Oncology,"Oncology, Cancer, Cancer Research, Chemotherapy, Oncology Clinical Research, Breast
Cancer, Cancer Immunotherapy, Pediatric Hematology/Oncology, Cancer Screening, Tumor
Immunology"
Operational,
Efficiency,"Operational Planning, KPI Reports, Demand Planning, Operational Efficiency, Performance
Reporting, Process Efficiency, Inventory Planning, Arena Simulation Software, Operational
Support, Metrics Reporting"
Ophthalmology,"Ophthalmology, Optometry, Contact Lenses, Eyewear, Glaucoma, Eye Exams, Lenses, Ocular
Disease, Opticians, Dry Eye"
Oral Comprehension,"Learning Disabilities, Listen, Educational Assessment, Oral Comprehension, Assistive Listening
Devices"
Organic Chemistry,"Biochemistry, High-Performance Liquid Chromatography (HPLC), Analytical Chemistry, Good
Laboratory Practice (GLP), Organic Chemistry, ELISA, Chromatography, UV/Vis Spectroscopy,
Protein Purification, Gas Chromatography"
Orthopedic Surgery,"Orthopedic Surgery, Chronic Pain, Spine, Musculoskeletal Physiotherapy, Neck Pain,
Outpatient Orthopedics, Podiatry, Neurological Rehabilitation, Orthotics, Knee"
Partner,
Development,"Partner Relationship Management, Partnerships, Business Alliances, Startup Development,
Relationship Development, Strategic Alliances, Business Relationship Building, Partner
Development, Channel Account Management, Channel Relationship Management"
Pathology,"Flow Cytometry, Laboratory Medicine, Toxicology, Pathology, Blood Bank, Biomarkers, Clinical
Microbiology, Cancer Biology, Medical Microbiology, Serology"
